Bem Pat;Seq;Conta;DescriÁ„o Conta;Narrativa;Data Inv.;Plaqueta;LocalizaÁ„o;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO;LicenÁa Uso;EspecificaÁ„o TÈcnica
706766;0;135010402;EQUIPAMENTOS - PROD;MATERIAIS E EQUIPAMENTOS DE FABRICA;30/11/2016;706766;NI;0;TORT2007;7231;;;;
706779;1;135010402;EQUIPAMENTOS - PROD;FRETE - REF. VALVULA BORBOLETA 8'' TIPO;30/11/2016;706779;NI;0;TORT2007;7231;;;;
706784;0;135010402;EQUIPAMENTOS - PROD;CILINDRO PNEUMATICO ISO 6431 D63 CURSO 2;30/11/2016;706784;NI;0;TORT2007;7231;;;;
706785;0;135010402;EQUIPAMENTOS - PROD;CILINDRO PNEUMATICO ISO 6431 D63 CURSO 2;30/11/2016;706785;NI;0;TORT2007;7231;;;;
706786;0;135010402;EQUIPAMENTOS - PROD;CILINDRO PNEUMATICO ISO 6431 D63 CURSO 2;30/11/2016;706786;NI;0;TORT2007;7231;;;;
706787;0;135010402;EQUIPAMENTOS - PROD;CILINDRO PNEUMATICO ISO 6431 D63 CURSO 2;30/11/2016;706787;NI;0;TORT2007;7231;;;;
706791;0;135010402;EQUIPAMENTOS - PROD;FRETE REFERENTE MOVIMENTACAO DE ATIVO;30/11/2016;706791;NI;0;TORT2007;7231;;;;
706802;0;135010402;EQUIPAMENTOS - PROD;CONE 1 E CHAPA 3/16 EM INOX 304 CONFORME;30/11/2016;706802;NI;0;TORT2007;7231;;;;
706804;1;135010402;EQUIPAMENTOS - PROD;FRETE REF. MATERIAIS DE ATIVO FIXO;30/11/2016;706804;NI;0;TORT2007;7222;;;;
706805;0;135010402;EQUIPAMENTOS - PROD;EIXO MISTURADOR REATOR 3 CARBOQUELATO EM;30/11/2016;706805;NI;0;TORT2007;7231;;;;
706806;0;135010402;EQUIPAMENTOS - PROD;ROTOR DE MARTELOS COMPLETO E BALANCEADO;30/11/2016;706806;NI;0;TORT2007;7231;;;;
