SEQUENCIA;ATIVO NOVO;ATIVO ANTERIOR;CONCILIAÄ«O;LOCALIZAÄ«O ;CODIGO CENTRO CUSTO;DESCRIÄ«O CENTRO CUSTO;DESCRIÄ«O ;MARCA;MODELO;SERVICE TAG;
INVENTARIO;;;;;;;;;;;
631;17740;;145460;REFEIT‡RIO ;1162;Restaurante;FREEZER VERTICAL INOX 4 PORTAS ;GELOPAR;;;
632;17741;;145470;REFEIT‡RIO ;1162;Restaurante;FREEZER VERTICAL INOX 4 PORTAS ;COZIL;;;
633;17742;;145480;REFEIT‡RIO ;1162;Restaurante;FREEZER VERTICAL INOX 6 PORTAS ;COZIL;;;
634;16539;DSM;165390;REFEIT‡RIO ;1162;Restaurante;FREEZER HORIZONTAL 2 PORTAS;CONSUL;;;
635;17743;3104;31040;REFEIT‡RIO ;1162;Restaurante;CAMARA FRIA COM EVAPORADOR 2 VENTILADORES ;;;;
636;17744;;165390;REFEIT‡RIO ;1162;Restaurante;FREEZER HORIZONTAL 2 PORTAS ;CONSUL;;;
637;17745;3108;31080;REFEIT‡RIO ;1162;Restaurante;FRITADEIRA 2 CUBAS;SIRE;;;
638;17751;;120990;REFEIT‡RIO ;1162;Restaurante;BALANÄA ELETR‚NICA ;MICHELETTI;200Kg;;
639;17752;;;REFEIT‡RIO ;1162;Restaurante;MATA-MOSCAS ;PESTLINE;;;
640;S/N;;31060;REFEIT‡RIO ;1162;Restaurante;ESTANTE INOX 4 PRATELEIRAS ;;;;
641;S/N;10726;7032730;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX 2M;;;;
642;S/N;;34130;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX L COM CUBA;;;;
643;S/N;;41110;REFEIT‡RIO ;1162;Restaurante;2 ESTANTES INOX 4 PRATELEIRAS ;;;;
644;S/N;;31000;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX COM 2 CUBAS;;;;
645;S/N;6317;63170;REFEIT‡RIO ;1162;Restaurante;BALCAO INOX 4 PORTAS 4M;;;;
646;S/N;;47600-47610-47620;REFEIT‡RIO ;1162;Restaurante;3 ESTANTES INOX 4 PRATELEIRAS ;;;;
647;S/N;;31120;REFEIT‡RIO ;1162;Restaurante;BALCAO INOX 2 CUBAS;;;;
648;S/N;;31180;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX;;;;
649;S/N;;7032730;REFEIT‡RIO ;1162;Restaurante;2 BALCOES INOX L COM CUBA;;;;
650;S/N;;38710;REFEIT‡RIO ;1162;Restaurante;MESA PEQUENA INOX;;;;
651;S/N;3100;31000;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX;;;;
652;S/N;;31190;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX ;;;;
653;S/N;6330;63300;REFEIT‡RIO ;1162;Restaurante;BANCADA INOX COM ROD÷ZIOS ;;;;
654;S/N;;27630;REFEIT‡RIO ;1162;Restaurante;MESA INOX;;;;
655;S/N;;30980;REFEIT‡RIO ;1162;Restaurante;ESTANTE INOX ESTREITA 4 PRATELEIRAS ;;;;
656;S/N;;30970;REFEIT‡RIO ;1162;Restaurante;ESTANTE INOX 4 PRATELEIRAS ;;;;
657;S/N;;34380;REFEIT‡RIO ;1162;Restaurante;BALCAO INOX 2 CUBAS ;;;;
658;S/N;;159630;REFEIT‡RIO ;1162;Restaurante;CARRO INOX ESCORREDOR;;;;
659;17754;6319;63190;REFEIT‡RIO ;1162;Restaurante;RECHAUD FRIO 6 CUBAS TAMPO GRANITO;;;;
660;17755;6318;63180;REFEIT‡RIO ;1162;Restaurante;RECHAUD QUENTE 6 CUBAS TAMPO GRANITO;;;;
661;17756;;132470;REFEIT‡RIO ;1162;Restaurante;LAVADORA LOUÄAS;NETTER;NT 200D;;
662;S/N;;34320;REFEIT‡RIO ;1162;Restaurante;BALCAO INOX L COM CUBA;;;;
663;S/N;;159640;REFEIT‡RIO ;1162;Restaurante;CARRO INOX PARA BANDEJAS;;;;
664;17757;10691;106910;REFEIT‡RIO ;1162;Restaurante;GABINETE L 18 PORTAS 4 GAVETAS ;;;;
665;17758;;64230;REFEIT‡RIO ;1162;Restaurante;RECHAUD INOX;;;;
666;17759;;64240;REFEIT‡RIO ;1162;Restaurante;RECHAUD INOX;;;;
667;17760;;64250;REFEIT‡RIO ;1162;Restaurante;RECHAUD INOX;;;;
668;17761;6353;63530;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;ARMARIO BAIXO 2 PORTAS ;;;;
669;17762;6352;63520;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;ESTAÄ«O TRABALHO L 2x1,5M;;;;
670;17763;;167300;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;ESTAÄ«O TRABALHO L 1,5X1,5 ;;;;
671;17764;6357;63570;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
672;17765;15523;143510;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;MONITOR VIDEO ;DELL;E19;;
673;17766;15057;150570;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;CPU;DELL;OPTIPLEX 7010;;
674;17767;;30370;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;AR CONDICIONADO ;;7.500 BTU JANELA;;
675;S/N;;87850;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;CADEIRA GIRAT‡RIA ROD÷ZIOS ;;;;
676;S/N;;87940;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;CADEIRA FIXA ;;;;
677;17768;8655;86580;REFEIT‡RIO-NUTRICIONISTA;1162;Restaurante;IMPRESSORA;EPSON;STYLUS C87+;;
678;17769;;;REFEIT‡RIO ;1162;Restaurante;MATA-MOSCAS ;PESTLINE;;;
679;17770;;;REFEIT‡RIO ;1162;Restaurante;MATA-MOSCAS ;PESTLINE;;;
680;17771;;;REFEIT‡RIO ;1162;Restaurante;MATA-MOSCAS ;PESTLINE;;;
681;17772;;80002426;REFEIT‡RIO ;1162;Restaurante;CATRACA ELETR‚NICA;DIMEP;;;
682;17773;;80002427;REFEIT‡RIO ;1162;Restaurante;CATRACA ELETR‚NICA;DIMEP;;;
683;17774;7226;49092;REFEIT‡RIO ;1162;Restaurante;CPU;DELL;GX620;;
684;17775;14325;134000;REFEIT‡RIO ;1162;Restaurante;MONITOR VIDEO ;DELL;E17;;
685;17776;9036;90361;REFEIT‡RIO ;1162;Restaurante;MONITOR VIDEO ;DELL;E17;;
686;17777;10388;80002027;REFEIT‡RIO ;1162;Restaurante;TELEVISOR ;PHILIPS;42;;
687;17778;1390;80002026;REFEIT‡RIO ;1162;Restaurante;TELEVISOR ;PHILIPS;42;;
688;17779;;800004114;REFEIT‡RIO ;1162;Restaurante;LIXEIRA DUPLA COM PORTA BASCULANTE ;;;;
689;17780;;800004114;REFEIT‡RIO ;1162;Restaurante;LIXEIRA DUPLA COM PORTA BASCULANTE ;;;;
690;17781;;800004114;REFEIT‡RIO ;1162;Restaurante;LIXEIRA DUPLA COM PORTA BASCULANTE ;;;;
691;17782;;156890;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
692;17783;;156900;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
693;17784;;156910;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
694;17785;;156920;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
695;17786;;156930;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
696;17787;;156940;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
697;17788;;156950;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
698;17789;;156960;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
699;17790;;156970;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
700;17791;;156980;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
701;17792;;156990;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
702;17793;;157000;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
703;17794;;157010;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
704;17795;;157020;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
705;17796;;157030;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
706;17797;;157040;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
707;17798;;157050;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
708;17799;;157060;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
709;17800;;157070;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
710;17801;;157080;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
711;17802;;157090;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
712;17803;;157100;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
713;17804;;157110;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
714;17805;;157120;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
715;17806;;157130;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
716;17807;;40100;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
717;17808;;44090;REFEIT‡RIO ;1162;Restaurante;MESA REFEIT‡RIO 4 CADEIRAS;;;;
718;17809;15953;73610;SHE-GERENCIA;1168;SHE;ARMARIO ALTO 2 PORTAS ;;;;
719;17810;;7035770;SHE-GERENCIA;1168;SHE;ARMARIO BAIXO 2 PORTAS ;;;;
720;17811;;168790;SHE-GERENCIA;1168;SHE;ESTAÄ«O TRABALHO 2,5X2,5M;;;;
721;17812;;162060;SHE-GERENCIA;1168;SHE;GAVETEIRO VOLANTE 2 GAVETAS ;;;;
722;17813;;167350;SHE-GERENCIA;1168;SHE;MESA REUNI«O REDONDA 1,2M;;;;
723;17814;;7041251;SHE-GERENCIA;1168;SHE;NOTEBOOK ;DELL;LATITUDE E6430;;
724;17815;;87900;SHE-GERENCIA;1168;SHE;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS COURO DIRETOR ;;;;
725;S/N;;58112;SHE-GERENCIA;1168;SHE;6 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
726;S/N;;45750;SHE-GERENCIA;1168;SHE;AR CONDICIONADO ;HITACHI ;SPLIT PEQUENO ;;
727;17816;4441;44410;RECURSOS HUMANOS-LAILA FONSECA;1110;Recursos Humanos;ESTAÄ«O TRABALHO L 2X2M;;;;
728;17818;;;RECURSOS HUMANOS-LAILA FONSECA;1110;Recursos Humanos;DOCK STATION ;;;;
729;17817;;49141;RECURSOS HUMANOS-LAILA FONSECA;1110;Recursos Humanos;MONITOR VIDEO ;DELL;E19;;
730;S/N;;1022200;RECURSOS HUMANOS-LAILA FONSECA;1110;Recursos Humanos;AR CONDICIONADO ;SPRINGER ;SPLIT PEQUENO ;;
731;S/N;;17640;RECURSOS HUMANOS-LAILA FONSECA;1110;Recursos Humanos;5 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
732;17819;;7030860;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;ARMARIO ALTO 4 PORTAS 2 PRATELEIRAS ;;;;
733;17820;11338;7030050;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
734;17821;;97020;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;ESTAÄ«O TRABALHO L 2 GAVETAS 2X2M;;;;
735;S/N;;75200;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;2 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
736;17822;;25830;MELHORIA CONT÷NUA ;1200;Engenharia e Melhoria Continua;ARMARIO BAIXO 2 PORTAS 2 PRATELEIRAS ;;;;
737;17823;2662;23900;MELHORIA CONT÷NUA ;1200;Engenharia e Melhoria Continua;GAVETEIRO VOLANTE 5 GAVETAS ;;;;
738;17824;11448;7030960;MELHORIA CONT÷NUA ;1200;Engenharia e Melhoria Continua;ESTAÄ«O TRABALHO L 1,5X1,5;;;;
739;S/N;;46210;MELHORIA CONT÷NUA ;1200;Engenharia e Melhoria Continua;AR CONDICIONADO ;SPRINGER ;SPLIT PEQUENO ;;
740;S/N;;58301;MELHORIA CONT÷NUA ;1200;Engenharia e Melhoria Continua;3 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
741;17825;15956;73640;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;ARMARIO ALTO 2 PORTAS ;;;;
742;17826;15955;73630;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;ARMARIO ALTO 2 PORTAS ;;;;
743;17827;;161900;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;GAVETEIRO VOLANTE 2 GAVETAS ;;;;
744;17828;;91460;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;ESTAÄ«O TRABALHO L 2,5X2,5M;;;;
745;S/N;;46220;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;AR CONDICIONADO ;SPRINGER ;SPLIT PEQUENO ;;
746;S/N;;73960;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;2 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
747;17829;;87910;RECURSOS HUMANOS-GER“NCIA RH;1110;Recursos Humanos;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS COURO DIRETOR ;;;;
748;17830;15815;8000044;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;ARMARIO ALTO 2 PORTAS VIDRO;;;;
749;17831;;79440;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;ARMARIO BAIXO 2 PORTAS ;;;;
750;17832;;91470;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;ESTAÄ«O TRABALHO L 2,5X2,5M;;;;
751;17833;15714;157140;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS COURO DIRETOR ;;;;
752;17834;;800004129;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;MESA REUNI«O 3M;;;;
753;17835;15715;157150;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
754;17836;15716;157160;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
755;17837;15717;157170;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
756;17838;15719;157190;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
757;17839;15722;157220;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
758;17840;15720;157200;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
759;17841;15718;157180;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
760;17842;15721;157210;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
761;17843;;49332;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;MONITOR VIDEO ;DELL;P1913;;
762;17844;;;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;DOCK STATION;;;;
763;17845;11657;116570;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;IMPRESSORA ;HP;LASERJET CP1515N;;
764;S/N;13722;137220;DIRETORIA DE OPERAÄÂES ;3000;Diretoria de Operacoes;AR CONDICIONADO ;SPRINGER ;SPLIT MEDIO ;;
765;17846;;7065973;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;ARMARIO BAIXO 2 PORTAS ;;;;
766;17847;15954;73620;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;ARMARIO ALTO 2 PORTAS ;;;;
767;17848;;167750;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;GAVETEIRO VOLANTE 2 GAVETAS ;;;;
768;17849;;46050;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;ESTAÄ«O TRABALHO L 2X2,5M;;;;
769;17850;15819;8000048;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS COURO DIRETOR ;;;;
770;S/N;;58820;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;AR CONDICIONADO ;SPRINGER ;SPLIT PEQUENO ;;
771;S/N;;73970;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;2 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
772;17851;14956;152520;ENGENHARIA-GER“NCIA;1200;Engenharia e Melhoria Continua;NOTEBOOK ;HP;PROBOOK 6460B;;
773;17852;;800004106;SALA REUNI«O 5;1160;Administracao Industrial;MESA REUNI«O 2M;;;;
774;17853;;7029620;SALA REUNI«O 5;1160;Administracao Industrial;MESA REUNI«O 2M;;;;
775;S/N;;87800;SALA REUNI«O 5;1160;Administracao Industrial;14 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
776;17854;;161980;SALA REUNI«O 5;1160;Administracao Industrial;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
777;S/N;;161810;SALA REUNI«O 5;1160;Administracao Industrial;AR CONDICIONADO ;SPRINGER ;SPLIT MEDIO ;;
778;S/N;;80001531;SALA REUNI«O 5;1160;Administracao Industrial;DATASHOW;DELL;;;
779;S/N;15971;159710;SALA REUNI«O 5;1160;Administracao Industrial;TELA PROJEÄ«O ;PROJETELAS;;;
780;17855;9702;97020;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ARMARIO BAIXO 2 PORTAS ;;;;
781;17856;9160;91600;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ARMARIO BAIXO 2 PORTAS ;;;;
782;17857;11500;7033100;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ARMARIO BAIXO 2 PORTAS ;;;;
783;17858;2789;27890;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;GABINETE L 2 PORTAS 10 GAVETAS ;;;;
784;17859;2790;27900;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ARMARIO ALTO 4 PORTAS SOBRE BANCADA;;;;
785;17860;;46030;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ESTAÄ«O TRABALHO L 2X2 2 GAVETAS ;;;;
786;17861;;46040;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ESTAÄ«O TRABALHO L 2X2 2 GAVETAS ;;;;
787;17862;2177;46020;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;ESTAÄ«O TRABALHO L 2X2 2 GAVETAS ;;;;
788;17863;;166990;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;AR CONDICIONADO ;MIDEA ;SPLIT PEQUENO ;;
789;17864;;77120;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;FRIGOBAR;PHILCO;PH15;;
790;17865;;40260;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;TELEVISOR ;TOSHIBA ;32;;
791;17866;;50201;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;MONITOR VIDEO ;DELL;E19;;
792;16696;DSM;166960;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;CPU;DELL;OPTIPLEX 9020;;
793;17867;14307;145400;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;MONITOR VIDEO ;DELL;E17;;
794;17868;;50511;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;MONITOR VIDEO ;DELL;E19;;
795;16241;DSM;80003671;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;CPU;DELL;OPTIPLEX 9020;;
796;S/N;;58122;CONTROLE QUALIDADE;7250;Laboratorio de Controle e Qualidade;6 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
797;18251;;800004149;PCP;3121;PCP;ARMARIO BAIXO 2 PORTAS ;;;;
798;18252;;7031550;PCP;3121;PCP;ARMARIO BAIXO 2 PORTAS ;;;;
799;18253;;7031560;PCP;3121;PCP;ARMARIO BAIXO 2 PORTAS ;;;;
800;18254;11447;7031360;PCP;3121;PCP;ARMARIO BAIXO 2 PORTAS ;;;;
801;18255;5683;56832;PCP;3121;PCP;IMPRESSORA MATRICIAL ;EPSON;FX-2190;;
802;18256;3762;37620;PCP;3121;PCP;MESA IMPRESSORA ;;;;
803;16552;DSM;165520;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
804;18257;8026;80260;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
805;18258;13558;74850;PCP;3121;PCP;RACK PAREDE INFORMµTICA ;;;;
806;18259;14992;155780;PCP;3121;PCP;CPU;DELL;OPTIPLEX 7010;;
807;18260;15462;154620;PCP;3121;PCP;MONITOR VIDEO ;DELL;E19;;
808;18261;;147470;PCP;3121;PCP;MESA ESCRIT‡RIO RETA 1,2M COM DIVISOR;;;;
809;18262;;60031;PCP;3121;PCP;MESA ESCRIT‡RIO RETA 1,2M COM DIVISOR;;;;
810;18263;;7030170;PCP;3121;PCP;MESA ESCRIT‡RIO RETA 1,2M COM DIVISOR;;;;
811;16548;DSM;165480;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
812;18264;15292;152920;PCP;3121;PCP;CPU;HP COMPAQ;6200;;
813;18265;15384;153840;PCP;3121;PCP;MONITOR VIDEO ;HP;L185b ;;
814;18266;15243;152430;PCP;3121;PCP;NOTEBOOK ;HP;PROBOOK 6460;;
815;18267;;146280;PCP;3121;PCP;MESA ESCRIT‡RIO RETA 1,2M;;;;
816;18268;;147440;PCP;3121;PCP;MESA ESCRIT‡RIO RETA 1,2M;;;;
817;18269;;147450;PCP;3121;PCP;MESA ESCRIT‡RIO RETA 1,2M;;;;
818;16547;DSM;165470;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
819;16550;DSM;165500;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
820;16551;DSM;165510;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
821;18270;8165;81650;PCP;3121;PCP;AR CONDICIONADO ;CONSUL ;JANELA 7.500;;
822;18271;;167000;PCP;3121;PCP;AR CONDICIONADO ;SPRINGER ;JANELA SILENTIA 10.000;;
823;18272;;80003649;PCP;3121;PCP;CPU;DELL;OPTIPLEX 7010;;
824;18273;15451;154510;PCP;3121;PCP;MONITOR VIDEO ;DELL;E19;;
825;16437;DSM;164370;PCP;3121;PCP;NOTEBOOK ;DELL;E7450;;
826;18274;10575;105751;PCP;3121;PCP;CPU;DELL;OPTIPLEX 755;;
827;18275;15457;154570;PCP;3121;PCP;MONITOR ;DELL;E19;;
828;18276;4432;44320;PCP;3121;PCP;ESTAÄ«O TRABALHO 2X2M;;;;
829;18277;7393;73930;PCP;3121;PCP;ESTAÄ«O TRABALHO 2X2M;;;;
830;16549;DSM;165490;PCP;3121;PCP;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
831;16436;DSM;164360;PCP;3121;PCP;NOTEBOOK ;DELL;E7450;;
832;S/N;;73980;PCP;3121;PCP;2 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
833;18278;2540;8000044;ROUPARIA;1161;Rouparia;ARMARIO ALTO 2 PORTAS ;;;;
834;18279;;88480;ROUPARIA;1161;Rouparia;MESA ESCRIT‡RIO 1M;;;;
835;18280;3543;35430;ROUPARIA;1161;Rouparia;ARQUIVO AÄO 4 GAVETAS ;;;;
836;18281;4458;44580;ROUPARIA;1161;Rouparia;AR CONDICIONADO ;SPRINGER ;10.000;;
837;18282;;167330;ROUPARIA;1161;Rouparia;ESTAÄ«O TRABALHO L 2 GAVETAS 2X1,5M;;;;
838;18283;10039;7042271;ROUPARIA;1161;Rouparia;MONITOR VIDEO ;DELL;E17;;
839;S/N;;33650;ROUPARIA;1161;Rouparia;4 CADEIRAS GIRAT‡RIAS ROD÷ZIOS BRAÄOS ;;;;
840;18284;;90281;DISTRIBUIÄ«O EPI;1166;Seguranca do Trabalho/Servs.Gerais;CPU;DELL;OPTIPLEX 745;;
841;18285;10579;105791;DISTRIBUIÄ«O EPI;1166;Seguranca do Trabalho/Servs.Gerais;MONITOR VIDEO ;DELL;E19;;
842;18286;;167340;DISTRIBUIÄ«O EPI;1166;Seguranca do Trabalho/Servs.Gerais;ESTAÄ«O TRABALHO L 2 GAVETAS 2X1,5M;;;;
843;S/N;;87870;DISTRIBUIÄ«O EPI;1166;Seguranca do Trabalho/Servs.Gerais;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
844;18287;10859;7033190;ROUPARIA;1161;Rouparia;GAVETEIRO VOLANTE 3 GAVETAS ;;;;
845;S/N;;87880;ROUPARIA;1161;Rouparia;CADEIRA GIRAT‡RIA ROD÷ZIOS BRAÄOS ;;;;
846;18288;104063;1040630;VESTIµRIOS;3111;Logistica e Expedicao;BEBEDOURO INOX 4 TORNEIRAS;;;;
847;18289;9507;91610;BALANÄA ;3111;Logistica e Expedicao;ARMARIO BAIXO 2 PORTAS ;;;;
848;18290;9504;63950;BALANÄA ;3111;Logistica e Expedicao;ARMARIO BAIXO 2 PORTAS ;;;;
849;S/N;;121560;BALANÄA ;3111;Logistica e Expedicao;AR CONDICIONADO ;CARRIER ;SPLIT PEQUENO ;;
850;18291;15458;154580;BALANÄA ;3111;Logistica e Expedicao;MONITOR VIDEO ;DELL;E19;;
851;18292;14996;149960;BALANÄA ;3111;Logistica e Expedicao;CPU;DELL;OPTIPLEX 7010;;
852;18293;1734;88570;BALANÄA ;3111;Logistica e Expedicao;MESA ESCRIT‡RIO 2 GAVETAS 1,8M;;;;
853;18294;;23750;BALANÄA ;3111;Logistica e Expedicao;GAVETEIRO VOLANTE 5 GAVETAS ;;;;
854;18295;1887;18870;BALANÄA ;3111;Logistica e Expedicao;RACK ALTO INFORMµTICA ;;;;
