ITEM;ATIVO;ATIVO ANT./CONC;COMPLEMENTO;AREA;P&IDS-EQUIPAMENTO;P&IDS-PLANTA;CENTRO CUSTO;DESCRIÄ«O CENTRO DE CUSTO;DESCRIÄ«O;MARCA;MODELO;OBS
1258;105189;10140455;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206F;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;3958
1259;104843;45230;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206H;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1260;105187;1020720;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206J;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1261;104950;43550;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206M;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1262;104942;102950;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206N;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1263;105190;;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206G;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1264;104908;102887;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206K;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1265;105161;1024160;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206B;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1266;105192;70480024;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206C;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;102209
1267;104842;3852;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206I;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1268;104724;38560;;UTILIDADES-AR COMPRIMIDO INSTRUMENTAÄ«O;TQ-01206L;Y-012-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;
1269;104606;42710;;UTILIDADES-AR COMPRIMIDO TRANSPORTE;TQ-01306B;Y-013-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;102480
1270;104605;42650;;UTILIDADES-AR COMPRIMIDO TRANSPORTE;TQ-01306C;Y-013-001;7241;AUTOMAÄ«O INDUSTRIAL;RESERVATORIO PULMAO PARA AR COMPRIMIDO;BARIONKAR;;102481
1271;105093;102101;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202A;Y-222-001;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1272;105093;;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202A-01;Y-222-001;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1273;105093;127940;0002;POLIVITAMINICOS-PREMIX ACABADOS;EX-22202A-01;Y-222-001;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;GARCIA;;
1274;105093;80006023;0003;POLIVITAMINICOS-PREMIX ACABADOS;EX-22202A-01;Y-222-001;7222;POLIVITAMINICOS;MOTOR ELêTRICO;GARCIA;;
1275;105093;102760;0004;POLIVITAMINICOS-PREMIX ACABADOS;MO-22204A;Y-222-001;7222;POLIVITAMINICOS;MOINHO;GARCIA;;
1276;105093;80006024;0005;POLIVITAMINICOS-PREMIX ACABADOS;MO-22204A;Y-222-001;7222;POLIVITAMINICOS;MOTOR ELêTRICO;GARCIA;;
1277;105093;85460;0006;POLIVITAMINICOS-PREMIX ACABADOS;MV-22202A-01;Y-222-001;7222;POLIVITAMINICOS;MOTOVIBRADOR;GARCIA;;
1278;105094;1027650;;POLIVITAMINICOS-PREMIX ACABADOS;TL-22117A;Y-222-001;7222;POLIVITAMINICOS;TALHA ELêTRICA;GARCIA;;
1279;105091;102063;;POLIVITAMINICOS-PREMIX ACABADOS;TP-22219A;Y-222-001;7222;POLIVITAMINICOS;TRANSPORTADOR PNEUMµTICO ;GARCIA;;
1280;105163;42320;;POLIVITAMINICOS-PREMIX ACABADOS;EC-22214A;Y-222-001;7222;POLIVITAMINICOS;ELEVADOR DE CANECAS;GARCIA;;
1281;105163;;0001;POLIVITAMINICOS-PREMIX ACABADOS;EC-22214A;Y-222-001;7222;POLIVITAMINICOS;MOTOREDUTOR;GARCIA;;
1282;105092;45040;;POLIVITAMINICOS-PREMIX;MG-22102A;Y-221-001;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1283;105092;;0001;POLIVITAMINICOS-PREMIX;FL-22102A-01;Y-221-001;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1284;105092;1042600;0002;POLIVITAMINICOS-PREMIX;EX-22102A-01;Y-221-001;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;GARCIA;;
1285;105092;47140;0003;POLIVITAMINICOS-PREMIX;EX-22102A-01;Y-221-001;7222;POLIVITAMINICOS;MOTOR ELêTRICO;GARCIA;;
1286;105092;1022620;0004;POLIVITAMINICOS-PREMIX;MO-22104A;Y-221-001;7222;POLIVITAMINICOS;MOINHO;GARCIA;;
1287;105092;80006022;0005;POLIVITAMINICOS-PREMIX;MO-22104A;Y-221-001;7222;POLIVITAMINICOS;MOTOR ELêTRICO;GARCIA;;
1288;105092;85450;0006;POLIVITAMINICOS-PREMIX;MV-22102A-01;Y-221-001;7222;POLIVITAMINICOS;MOTOVIBRADOR;GARCIA;;
1289;105085;1020750;;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;SI-28108A;Y-281-001;7222;POLIVITAMINICOS;SILO METALICO;GARCIA;;
1290;105085;;0001;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;FL-28108A-01;Y-281-001;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1291;105086;1102430;;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;TP-28119A;Y-281-001;7222;POLIVITAMINICOS;TRANSPORTADOR PNEUMµTICO ;GARCIA;;
1292;105089;7067980;;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;SP-28108A-01;Y-281-001;7222;POLIVITAMINICOS;SOPRADOR ROOTS;HOOS;F6;
1293;105087;1020760;;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;SI-28108B;Y-281-001;7222;POLIVITAMINICOS;SILO METALICO;GARCIA;;
1294;105087;;0001;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;FL-28108B-01;Y-281-001;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1295;105088;1102440;;POLIVITAMINICOS-SILOS ESTOCAGEM CALCITA/CAULIM;TP-28119B;Y-281-001;7222;POLIVITAMINICOS;TRANSPORTADOR PNEUMµTICO ;GARCIA;;
1296;105098;102125;;POLIVITAMINICOS-PREMIX;MG-22102B;Y-221-002;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1297;105098;102126;0001;POLIVITAMINICOS-PREMIX;FL-22102B-01;Y-221-002;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1298;105103;102181;;POLIVITAMINICOS-PREMIX;RO-22116A;Y-221-002;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1299;105103;85050;0001;POLIVITAMINICOS-PREMIX;RO-22116A;Y-221-002;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1300;105096;102129;;POLIVITAMINICOS-PREMIX;MG-22102C;Y-221-002;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1301;105096;102119;0001;POLIVITAMINICOS-PREMIX;FL-22102C-01;Y-221-002;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1302;105101;102179;;POLIVITAMINICOS-PREMIX;RO-22116B;Y-221-002;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1303;105101;1036940;0001;POLIVITAMINICOS-PREMIX;RO-22116B;Y-221-002;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1304;105097;102123;;POLIVITAMINICOS-PREMIX;MG-22102D;Y-221-002;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1305;105097;102124;0001;POLIVITAMINICOS-PREMIX;FL-22102D-01;Y-221-002;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1306;105102;102180;;POLIVITAMINICOS-PREMIX;RO-22116C;Y-221-002;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1307;105102;1014730;0001;POLIVITAMINICOS-PREMIX;RO-22116C;Y-221-002;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1308;105095;102122;;POLIVITAMINICOS-PREMIX;MG-22102E;Y-221-002;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1309;105095;;0001;POLIVITAMINICOS-PREMIX;FL-22102E-01;Y-221-002;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1310;105100;102178;;POLIVITAMINICOS-PREMIX;RO-22116D;Y-221-002;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1311;105100;1036930;0001;POLIVITAMINICOS-PREMIX;RO-22116D;Y-221-002;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1312;105099;102129;;POLIVITAMINICOS-PREMIX;MG-22102F;Y-221-002;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1313;105099;;0001;POLIVITAMINICOS-PREMIX;FL-22102F-01;Y-221-002;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1314;105104;102183;;POLIVITAMINICOS-PREMIX;RO-22116E;Y-221-002;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1315;105104;61360;0001;POLIVITAMINICOS-PREMIX;RO-22116E;Y-221-002;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1316;105116;102141;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202O;Y-222-005;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1317;105116;102142;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202O-01;Y-222-005;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1318;105135;102171;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216R;Y-222-005;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1319;105135;48301;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216R;Y-222-005;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1320;105115;37510;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202P;Y-222-005;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;102144
1321;105115;102143;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202P-01;Y-222-005;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1322;105134;102172;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216S;Y-222-005;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1323;105134;59211;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216S;Y-222-005;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1324;105126;102107;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202Q;Y-222-005;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1325;105126;;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202Q-01;Y-222-005;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1326;105129;102167;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216T;Y-222-005;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1327;105129;70380;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216T;Y-222-005;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1328;105125;102114;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202R;Y-222-005;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1329;105125;;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202R-01;Y-222-005;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1330;105128;102168;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216U;Y-222-005;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1331;105128;60902;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216U;Y-222-005;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1332;105127;102146;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202S;Y-222-005;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1333;105127;;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202S-01;Y-222-005;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1334;105132;102174;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216V;Y-222-005;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1335;105132;61081;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216V;Y-222-005;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1336;105114;102148;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202J;Y-222-004;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1337;105114;102147;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202J-01;Y-222-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1338;105131;102175;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216M;Y-222-004;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1339;105131;85920;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216M;Y-222-004;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1340;105113;31990;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202K;Y-222-004;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1341;105133;102173;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216N;Y-222-004;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1342;105133;55871;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216N;Y-222-004;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1343;105124;37520;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202L;Y-222-004;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;102150
1344;105124;102149;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202L-01;Y-222-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1345;105130;102176;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216O;Y-222-004;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1346;105130;80820;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216O;Y-222-004;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1347;105111;102116;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202M;Y-222-004;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1348;105111;102115;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202M-01;Y-222-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1349;105137;102169;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216P;Y-222-004;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1350;105137;48801;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216P;Y-222-004;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1351;105112;1020400;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202N;Y-222-004;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;3185
1352;105112;1029030;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202N-01;Y-222-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;3159
1353;105136;102170;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216Q;Y-222-004;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1354;105136;48791;0001;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216Q;Y-222-004;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1355;105109;1024250;;POLIVITAMINICOS-PREMIX;MG-22102G;Y-221-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;102118
1356;105109;102117;0001;POLIVITAMINICOS-PREMIX;FL-22102G-01;Y-221-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1357;105109;;0002;POLIVITAMINICOS-PREMIX;RS-22136A;Y-221-003;7222;POLIVITAMINICOS;RECEPTOR DE SACOS MOVEL;;;
1358;105109;1042610;0003;POLIVITAMINICOS-PREMIX;EX-22136A-01;Y-221-003;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;;;
1359;105138;102177;;POLIVITAMINICOS-PREMIX;RO-22116F;Y-221-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1360;105138;55231;0001;POLIVITAMINICOS-PREMIX;RO-22116F;Y-221-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1361;105108;37400;;POLIVITAMINICOS-PREMIX;MG-22102H;Y-221-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;102134
1362;105108;102133;0001;POLIVITAMINICOS-PREMIX;FL-22102H-01;Y-221-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1363;105139;102187;;POLIVITAMINICOS-PREMIX;RO-22116G;Y-221-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1364;105139;57721;0001;POLIVITAMINICOS-PREMIX;RO-22116G;Y-221-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1365;105107;31950;;POLIVITAMINICOS-PREMIX;MG-22102I;Y-221-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1366;105107;1029050;0001;POLIVITAMINICOS-PREMIX;FL-22102I-01;Y-221-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;102135
1367;105141;102185;;POLIVITAMINICOS-PREMIX;RO-22116H;Y-221-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1368;105141;48291;0001;POLIVITAMINICOS-PREMIX;RO-22116H;Y-221-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1369;105106;102131;;POLIVITAMINICOS-PREMIX;MG-22102J;Y-221-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1370;105106;;0001;POLIVITAMINICOS-PREMIX;FL-22102J-01;Y-221-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1371;105142;102184;;POLIVITAMINICOS-PREMIX;RO-22116I;Y-221-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1372;105142;84780;0001;POLIVITAMINICOS-PREMIX;RO-22116I;Y-221-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1373;105105;102127;;POLIVITAMINICOS-PREMIX;MG-22102K;Y-221-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1374;105105;102128;0001;POLIVITAMINICOS-PREMIX;FL-22102K-01;Y-221-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1375;105143;102182;;POLIVITAMINICOS-PREMIX;RO-22116J;Y-221-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1376;105143;1042090;0001;POLIVITAMINICOS-PREMIX;RO-22116J;Y-221-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1377;105110;102137;;POLIVITAMINICOS-PREMIX;MG-22102L;Y-221-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1378;105110;102138;0001;POLIVITAMINICOS-PREMIX;FL-22102L-01;Y-221-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1379;105140;102186;;POLIVITAMINICOS-PREMIX;RO-22116K;Y-221-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1380;105140;1103070;0001;POLIVITAMINICOS-PREMIX;RO-22116K;Y-221-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1381;105152;102193;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202I;Y-222-006;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1382;105152;;;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202I-01;Y-222-006;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1383;105151;102189;;POLIVITAMINICOS-IN 65;MG-22302A;Y-223-001;7222;POLIVITAMINICOS;MOEGA BALANÄA METALICA;GARCIA;;
1384;105151;;0001;POLIVITAMINICOS-IN 65;FL-22302A-01;Y-223-001;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1385;105159;7039872;;POLIVITAMINICOS-IN 65;MI-22307A;Y-223-001;7222;POLIVITAMINICOS;MISTURADOR;GARCIA;;
1386;105159;10140422;0001;POLIVITAMINICOS-IN 65;FL-22307A-01;Y-223-001;7222;POLIVITAMINICOS;MISTURADOR;GARCIA;;
1387;105159;127960;0002;POLIVITAMINICOS-IN 65;EX-22307A-01;Y-223-001;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;GARCIA;;
1388;105168;41700;;POLIVITAMINICOS-IN 65;EN-22305A;Y-223-001;7222;POLIVITAMINICOS;ENSACADEIRA;SAT EPR;5000SS;
1389;105168;33260;0001;POLIVITAMINICOS-IN 65;PE-22315A;Y-223-001;7222;POLIVITAMINICOS;PENEIRA VIBRATORIA;GARCIA;;
1390;105168;;0002;POLIVITAMINICOS-IN 65;FL-22305A-01;Y-223-001;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1391;105168;;0003;POLIVITAMINICOS-IN 65;EX-22305A-01;Y-223-001;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;;;
1392;105168;45653;0004;POLIVITAMINICOS-IN 65;EX-22305A-01;Y-223-001;7222;POLIVITAMINICOS;MOTOR ELêTRICO;;;
1393;105168;;0004;POLIVITAMINICOS-IN 65;MC-22305A-01;Y-223-001;7222;POLIVITAMINICOS;MICRODOSADOR;GARCIA;;
1394;105158;1026960;;POLIVITAMINICOS-IN 65;RO-22316A;Y-223-001;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;JEMP;;
1395;105158;;0001;POLIVITAMINICOS-IN 65;RO-22316A;Y-223-001;7222;POLIVITAMINICOS;MOTOREDUTOR;JEMP;;
1396;105155;102191;;POLIVITAMINICOS-IN 65;TQ-22306A;Y-223-001;7222;POLIVITAMINICOS;TANQUE CILINDRICO VERTICAL;;;
1397;105155;5810;0001;POLIVITAMINICOS-IN 65;BO-22306A-01;Y-223-001;7222;POLIVITAMINICOS;BOMBA CENTRIFUGA;;;
1398;105155;157420;0002;POLIVITAMINICOS-IN 65;BO-22306A-01;Y-223-001;7222;POLIVITAMINICOS;MOTOR ELêTRICO;;;
1399;105169;1020680;;POLIVITAMINICOS-IN 65;N/D;Y-223-001;7222;POLIVITAMINICOS;COSTURADEIRA DE SACOS;FISHBEIN;400T;103169
1400;105170;8000244;;POLIVITAMINICOS-IN 65;N/D;Y-223-001;7222;POLIVITAMINICOS;ASPIRADOR DE PO INDUSTRIAL;ASPO;;
1401;105071;7068510;;POLIVITAMINICOS-IN 65;N/D;Y-223-001;7222;POLIVITAMINICOS;CORREIA TRANSPORTADORA PARA ENSAQUE;;;
1402;105071;132170;0001;POLIVITAMINICOS-IN 65;N/D;Y-223-001;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
1403;105153;7048006;;POLIVITAMINICOS-PREMIX;MG-22102M;Y-221-004;7222;POLIVITAMINICOS;MOEGA BALANÄA METALICA;GARCIA;;
1404;105153;102195;0001;POLIVITAMINICOS-PREMIX;FL-22102M-01;Y-221-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1405;105156;102051;;POLIVITAMINICOS-PREMIX;MI-22107A;Y-221-004;7222;POLIVITAMINICOS;MISTURADOR;GARCIA;;
1406;105156;;0001;POLIVITAMINICOS-PREMIX;FL-22107A-01;Y-221-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1407;105156;;0002;POLIVITAMINICOS-PREMIX;FL-22107A-01;Y-221-004;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1408;105156;;0003;POLIVITAMINICOS-PREMIX;EX-22107A-01;Y-221-004;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;;;
1409;105156;81520;0004;POLIVITAMINICOS-PREMIX;EX-22107A-01;Y-221-004;7222;POLIVITAMINICOS;MOTOR ELêTRICO;;;
1410;105160;1102450;;POLIVITAMINICOS-PREMIX;TP=22119B;Y-221-004;7222;POLIVITAMINICOS;TRANSPORTADOR PNEUMµTICO ;;;
1411;105154;38460;;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216H;Y-222-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;102188
1412;105157;1022000;;POLIVITAMINICOS-PREMIX ACABADOS;MI-22207A;Y-222-003;7222;POLIVITAMINICOS;MISTURADOR;GARCIA;;
1413;105157;;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22207A-01;Y-222-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1414;105157;;0002;POLIVITAMINICOS-PREMIX ACABADOS;EX-22207A-01;Y-222-003;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;;;
1415;105157;1034000;0003;POLIVITAMINICOS-PREMIX ACABADOS;EX-22207A-01;Y-222-003;7222;POLIVITAMINICOS;MOTOR ELêTRICO;;;
1416;105162;102052;;POLIVITAMINICOS-PREMIX ACABADOS;MG-22202T;Y-222-003;7222;POLIVITAMINICOS;MOEGA METµLICA;GARCIA;;
1417;105162;;0001;POLIVITAMINICOS-PREMIX ACABADOS;FL-22202T-01;Y-222-003;7222;POLIVITAMINICOS;FILTRO ;GARCIA;;
1418;105162;;0002;POLIVITAMINICOS-PREMIX ACABADOS;EX-22202T-01;Y-222-003;7222;POLIVITAMINICOS;EXAUSTOR CENTR÷FUGO;GARCIA;;
1419;105162;45652;0003;POLIVITAMINICOS-PREMIX ACABADOS;EX-22202T-01;Y-222-003;7222;POLIVITAMINICOS;MOTOR ELêTRICO;GARCIA;;
1420;105162;7067390;0004;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216I;Y-222-003;7222;POLIVITAMINICOS;ROSCA TRANSPORTADORA;GARCIA;;
1421;105162;;0005;POLIVITAMINICOS-PREMIX ACABADOS;RO-22216I;Y-222-003;7222;POLIVITAMINICOS;MOTOREDUTOR;;;
